Story;Point;Load;FX;FY;FZ;MX;MY;MZ
BASE;3;SS01;3.45;2.15;24.44;-2.714;4.101;0.027
BASE;3;SS02;4.46;4.06;30.45;-5.699;5.298;0.053
BASE;3;SS03;3.45;3.33;24.51;-4.716;4.099;0.04
BASE;3;SS04;4.21;3.88;28.96;-5.454;4.998;0.05
BASE;3;SS05;3.45;3.33;24.51;-4.716;4.099;0.04
BASE;3;SS06 MAX;6.23;5.01;26.39;-1.887;8.562;0.255
BASE;3;SS06 MIN;0.68;1.66;22.63;-7.545;-0.365;-0.175
BASE;3;SS07 MAX;4.86;6.14;25.65;0.014;6.38;0.176
BASE;3;SS07 MIN;2.05;0.53;23.36;-9.446;1.818;-0.096
BASE;3;SS08;4.21;3.88;28.96;-5.454;4.998;0.05
BASE;3;SS09 MAX;6.29;5.13;30.37;-3.333;8.346;0.211
BASE;3;SS09 MIN;2.13;2.62;27.55;-7.575;1.651;-0.111
BASE;3;SS10 MAX;5.26;5.98;29.82;-1.906;6.708;0.151
BASE;3;SS10 MIN;3.15;1.77;28.1;-9.001;3.288;-0.052
BASE;3;SS11;2.07;2.47;14.73;-3.63;2.458;0.029
BASE;3;SS12 MAX;4.85;4.14;16.61;-0.802;6.922;0.244
BASE;3;SS12 MIN;-0.7;0.8;12.85;-6.459;-2.005;-0.185
BASE;3;SS13 MAX;3.48;5.27;15.88;1.1;4.739;0.165
BASE;3;SS13 MIN;0.67;-0.33;13.59;-8.361;0.177;-0.106
BASE;4;SS01;0.98;-1.13;21.33;0.743;1.372;0.027
BASE;4;SS02;0.94;-0.29;23.32;-1.134;1.335;0.053
BASE;4;SS03;0.89;-0.15;20.97;-1.057;1.206;0.04
BASE;4;SS04;0.93;-0.26;22.73;-1.115;1.303;0.05
BASE;4;SS05;0.89;-0.15;20.97;-1.057;1.206;0.04
BASE;4;SS06 MAX;3.17;0.84;23.51;0.988;5.46;0.255
BASE;4;SS06 MIN;-1.39;-1.15;18.44;-3.102;-3.048;-0.175
